title,summary,url,source_name,source_type,published_date,sector,region,organization,organization_id,instrument_vendor,instrument_model,signal_kind,product_family,credibility,relevance,buying_intent,doi,response_deadline,notice_status,first_seen_at,last_seen_at,collector_name
A programmable DNA circuit based on target recycling-assisted DNAzyme combined with elemental labeling ICP-MS for p21 mRNA detection,,https://doi.org/10.1016/j.talanta.2026.130620,Elsevier BV,journal,2027-02,Battery & Critical Minerals,Global,,,,,Research activity,General sample introduction,0.88,0.85,0.28,10.1016/j.talanta.2026.130620,,,2026-09-18T13:27:57+00:00,2026-09-24T21:56:33+00:00,Crossref
"A systematically evaluated SEC-ICP-MS/MS workflow for Mn, Fe, Cu, and Zn speciation in human serum",,https://doi.org/10.1016/j.talanta.2026.130426,Elsevier BV,journal,2027-02,General ICP-MS,Global,,,,,Research activity,General sample introduction,0.88,0.85,0.28,10.1016/j.talanta.2026.130426,,,2026-09-18T13:26:59+00:00,2026-09-24T21:56:30+00:00,Crossref
Laser ablation inductively coupled plasma mass spectrometry (LA-ICP-MS) based inorganic element fingerprinting and multivariate analysis for discriminating the geographical origin of domestic and imported dried Platycodon roots,,https://doi.org/10.1016/j.sab.2026.107634,Elsevier BV,journal,2026-12,Research & Academia,Global,,,,,Research activity,Laser ablation interfaces,0.88,0.85,0.28,10.1016/j.sab.2026.107634,,,2026-09-18T13:29:36+00:00,2026-09-24T21:56:43+00:00,Crossref
Eriocitrin Attenuates Diabetic Cardiomyopathy by Regulating Copper Homeostasis and Cuproptosis-Associated Pathways via SIRT7/YAP/ATP7A Signalling.,"Diabetic cardiomyopathy (DCM) is a major complication of diabetes mellitus, with limited therapeutic strategies available. Cuproptosis, a novel form of copper-dependent cell death, has been implicated in cardiac dysfunction but remains unexplored in DCM. Here, we investigated the effects of Eriocitrin, a natural flavonoid, on DCM and examined the potential involvement of copper homeostasis, cuproptosis-associated molecular alterations and SIRT7/YAP/ATP7A signalling. Using high-fat diet and streptozotocin-induced diabetic mice, along with high-glucose-treated cardiomyocytes, we demonstrated that Eriocitrin improved cardiac function, attenuated myocardial remodelling and corrected glucose and lipid metabolism. Mechanistically, Eriocitrin improved myocardial copper homeostasis by enhancing ATP7A and ATP7B expression and reducing copper accumulation and cuproptosis-associated molecular alterations. Loss of SIRT7 impaired these effects, suggesting that SIRT7-associated YAP/ATP7A signalling contributes to Eriocitrin-mediated cardioprotection. The therapeutic efficacy of Eriocitrin showed similar protective trends to tetrathiomolybdate, a copper chelator. These findings suggest that Eriocitrin alleviates experimental DCM in association with improved myocardial copper homeostasis and attenuation of cuproptosis-associated molecular alterations, with SIRT7-associated YAP/ATP7A signalling potentially contributing to these effects.",https://doi.org/10.1111/bcpt.70301,Europe PMC,journal,2026-10-01,Pharma & Biopharma,Global,,,,,Research activity,General sample introduction,0.88,0.15,0.26,10.1111/bcpt.70301,,,2026-09-18T13:26:10+00:00,2026-09-24T21:56:23+00:00,Europe PMC
Eriocitrin Attenuates Diabetic Cardiomyopathy by Regulating Copper Homeostasis and Cuproptosis-Associated Pathways via SIRT7/YAP/ATP7A Signalling.,Basic Clin Pharmacol Toxicol,https://europepmc.org/article/MED/42740671,Europe PMC,journal,2026-10-01,Pharma & Biopharma,Global,,,,,Research activity,General sample introduction,0.88,0.15,0.26,,,,,,
In situ iron isotopic analysis of mantle silicate minerals by fs-LA–MC–ICP–MS,,https://doi.org/10.1016/j.chemgeo.2026.123663,Elsevier BV,journal,2026-10,General ICP-MS,Global,,,,,Research activity,General sample introduction,0.88,0.85,0.28,10.1016/j.chemgeo.2026.123663,,,2026-09-18T13:30:10+00:00,2026-09-24T21:56:46+00:00,Crossref
Quantitative nanometer-resolution depth profiling of semiconductor implantation profiles using non-matrix-matched microdroplet calibration for LA-ICP-MS,"Laser ablation inductively coupled plasma mass spectrometry (LA-ICP-MS) has gained increasing attention over recent decades, with continuous improvements in sensitivity, spatial resolution, and analysis speed. However, achieving accurate quantitative results remains a significant challenge, primarily due to matrix effects that influence the instrument response. The limited availability of certified reference materials (CRMs) for specialized sample types often necessitates either the use of non-matrix-matched calibration, potentially introducing considerable deviations even when internal standardization is applied, or the preparation of in-house standards designed to approximate the sample matrix. An alternative, less commonly applied approach avoids the use of solid calibration standards altogether by employing liquid standards. This strategy is enabled by specialized instrumental configurations that allow the introduction of liquid standards into the ICP while performing laser ablation under comparable conditions. In this study, we demonstrate this concept using microdroplets introduced into the ICP in an LA-ICP-MS setup. We systematically investigate suitable measurement and data acquisition strategies using a sequentially scanning quadrupole mass analyzer, combined with automated statistical data evaluation procedures. The performance of the method is validated through the analysis of Sr, Ba, Ag, In, Pb, and U in the glass reference material NIST SRM 612. Finally, the applicability of the approach to spatially resolved analysis is demonstrated in a high-resolution depth profile of an Al-implanted single-crystal SiC semiconductor. The results show excellent agreement with target values, representing the first application of this quantification strategy to spatially resolved measurements.",https://doi.org/10.1016/j.microc.2026.119454,Elsevier BV,journal,2026-10,Semiconductor & High Purity,Global,TU Wien,https://ror.org/04d836q62,,,Research activity,Torches & injectors,0.88,0.85,0.28,10.1016/j.microc.2026.119454,,,2026-09-18T13:27:13+00:00,2026-09-24T21:56:30+00:00,Crossref
Sequential supercritical CO2 and subcritical water extraction (SWE) of olive mill wastewater (OMW) sludge: Phenolic enrichment and contaminant distribution assessed by ICP–MS and UHPLC–MS/MS,,https://doi.org/10.1016/j.ifset.2026.104730,Elsevier BV,journal,2026-10,Environmental & Water,Global,,,,,Research activity,General sample introduction,0.88,0.85,0.28,10.1016/j.ifset.2026.104730,,,2026-09-18T13:28:28+00:00,2026-09-24T21:56:36+00:00,Crossref
Simple sensitive ICP-MS method development and validation for quantitative evaluation and risk assessment of elemental impurities in anticoagulant drug product: study aligned with ICH Q3D guideline,"Abstract Background Elemental impurities in pharmaceutical products present significant risks to patient safety due to their potential toxicity. These impurities may arise from various sources, including raw materials used in the process, manufacturing operations, processing equipment, and packaging materials. In this study, a simple, sensitive, and reliable analytical method using Inductively Coupled Plasma–Mass Spectrometry (ICP-MS) was developed and validated for the quantification of elemental impurities in anticoagulant drug products, specifically Apixaban, Edoxaban, and Rivaroxaban. The developed ICP-MS method enables accurate and precise determination of elemental impurities, ensuring effective monitoring and control of potentially toxic elements in these pharmaceutical formulations to support product quality and patient safety. The method targeted the determination of 24 elemental impurities classified according to the ICH Q3D Guideline for Elemental Impurities, including Class-1 elements (As, Pb, Hg, and Cd), Class-2A elements (Ni, V, and Co), Class-2B elements (Pd, Ir, Os, Tl, Ru, Pt, Au, Se, Ag, and Rh), and Class-3 elements (Cu, Mo, Li, Sn, Sb, Cr, and Ba). The analytical procedure was developed using ICP-MS, and the optimised method was validated in accordance with USP General Chapter and , confirming its suitability for accurate and reliable multi-element analysis. Results The analytical procedure was validated by assessing specificity, accuracy, sensitivity, selectivity, precision, linearity, range, and LOD–LOQ precision in accordance with ICH Q3D Guideline for Elemental Impurities and relevant pharmacopeial requirements. All 24 elements showed excellent linearity with correlation coefficients greater than 0.99. Accuracy was demonstrated across the range from LOQ (30%) to 200% of the target level, and recovery was within acceptable limits, i.e. 70%–150%, and the %RSD for precision was within acceptable limits, i.e. below 20%. The validated method prov",https://doi.org/10.1186/s43094-026-01021-7,Springer Science and Business Media LLC,journal,2026-09-23,Pharma & Biopharma,Global,,,,,Research activity,Interface cones,0.88,0.85,0.28,10.1186/s43094-026-01021-7,,,2026-09-23T22:01:29+00:00,2026-09-24T21:56:33+00:00,Crossref
Photoelectrochemical nitrate reduction to ammonia on CuFeO2 photocathodes modified with metallic cocatalysts,,https://europepmc.org/article/PMC/PMC13591077,Europe PMC,journal,2026-09-22,Battery & Critical Minerals,Global,,,,,Research activity,General sample introduction,0.88,0.15,0.26,,,,2026-09-22T21:46:03+00:00,2026-09-24T21:56:23+00:00,Europe PMC
Biofluid iodine concentrations are associated with mild cognitive impairment: The potential mediating role of thyroid hormones.,"Iodine nutritional status is associated with mild cognitive impairment (MCI) in older adults. However, evidence comparing iodine concentrations across multiple biofluids and evaluating the potential mediating role of thyroid function remains limited. This cross-sectional study was conducted in three regions of China with varying levels of iodine nutrition. Drinking water, urine, saliva and serum samples were collected from people aged ≥60, and the iodine concentrations in the water, urine, saliva and serum were determined using ICP-MS, and 24-h urinary iodine excretion (24 h-UIE) was calculated. Cognitive function was assessed using a combination of the Mini-Mental State Examination (MMSE), the Activities of Daily Living (ADL) scale, and a structured questionnaire for cognitive-related medical history. Among 3888 participants, 1319 (33.9%) had MCI. Iodine status and cognitive outcomes differed markedly across regions. Higher levels of several biofluid iodine indicators were associated with lower MMSE scores. Among urinary measures, 24-h urinary iodine concentration (24 h-UIC) showed the strongest inverse association (β = -1.764, 95% CI: -1.973 to -1.555). Region-stratified analyses revealed substantial heterogeneity in iodine-cognition associations (all P for interaction <0.05). TSH was inversely associated with MMSE and partially mediated the associations of 24 h-UIE and 24 h-UIC with MCI, accounting for 10.23% (ACME OR = 1.012, 95% CI: 1.002-1.022) and 8.90% (ACME OR = 1.012, 95% CI: 1.001-1.024) of the total associations, respectively. These findings remained robust in sensitivity analyses. Our results indicate that in older adults, biofluid iodine concentrations are associated with MCI, and this association is only partially mediated by TSH.",https://doi.org/10.1016/j.cca.2026.121353,Europe PMC,journal,2026-09-21,Environmental & Water,Global,,,,,Research activity,Interface cones,0.88,0.85,0.26,10.1016/j.cca.2026.121353,,,2026-09-22T21:46:03+00:00,2026-09-24T21:56:22+00:00,Europe PMC
De Novo Minibinder Radiotheranostics for Targeted Treatment of Prostate Cancer,"Project Summary/Abstract Metastatic castration-resistant prostate cancer (mCRPC) is responsible for the vast majority (80-90%) of prostate cancer (PC) deaths and is characterized by rapid disease progression and limited treatment options. Since mCPRC develops in response to standard androgen deprivation and androgen receptor (AR) signaling inhibition treatment regimens, alternative therapeutic strategies beyond AR signaling modulation are required for mCRPC. PSMA-targeted Lutetium-177–PSMA-617 (Pluvicto) is the first approved radiotherapeutic for mCRPC, yet its effect is relatively modest (4 month OS increase) and most patients quickly progress, reportedly due to (1) PSMA expression heterogeneity, both within and across individual metastases as well as between patients, which results in suboptimal on-tumor radiation dose and ineligible patient groups, (2) dose-limiting systemic toxicities, and (3) cancer cell resistance mechanisms such as antigen loss (VISION Trial). While Pluvicto has clinically validated the radioligand approach in mCRPC treatment, next generation radiotheranostics can achieve more significant and durable patient responses by improving on-tumor radiation delivery, increasing coverage across heterogeneous tumors, and expanding biomarker-based targeting across PC disease stages and molecular phenotype. To this end, we have developed targeted de novo designed minibinder (Mb) proteins in small format (~7kDa) that bind diverse cancer targets with high affinity and specificity, can be efficiently radiolabeled, and can be engineered for tunable pharmacokinetics in vivo to maximize tumor accumulation while minimizing accumulation in radiation-sensitive normal tissues. Here we will apply our de novo Mb radioconjugate (MbRC) platform to target non-enzyme PC biomarkers B7-H3 and STEAP1, traditionally not targetable by small molecule ligands and peptides, which offers a promising approach for next-generation radiotheranostics in mCRPC. In Aim 1 we will utiliz",https://reporter.nih.gov/project-details/1R43CA314905-01,NIH RePORTER,grant,2026-09-18,Pharma & Biopharma,WA,"VESTO THERAPEUTICS, INC",,,,Funding,General sample introduction,0.88,0.15,0.67,,,,2026-09-20T21:10:14+00:00,2026-09-24T21:56:23+00:00,NIH RePORTER
Electroanalytical overview: recent advances in the sensing of arsenic using screen-printed electrochemical platforms,,https://europepmc.org/article/PMC/PMC13585363,Europe PMC,journal,2026-09-18,General ICP-MS,Global,,,,,Research activity,General sample introduction,0.88,0.15,0.26,,,,2026-09-18T13:26:10+00:00,2026-09-18T21:24:37+00:00,Europe PMC
Electroanalytical overview: recent advances in the sensing of arsenic using screen-printed electrochemical platforms,Environ Sci Nano,,Europe PMC,journal,2026-09-18,General ICP-MS,Global,,,,,Research activity,General sample introduction,0.88,0.15,0.26,,,,,,
High‐Precision Rb Isotope Analysis by MC‐ICP‐MS Using Sr Empirical External Normalization,"ABSTRACT Rationale Stable rubidium (Rb) isotopes have received increasing attention as emerging geochemical tracers for investigating planetary evolution, water–silicate interactions, and global Rb cycling. High‐precision Rb isotope measurements by multicollector inductively coupled plasma mass spectrometry (MC‐ICP‐MS) are commonly performed using the standard‐sample bracketing (SSB) method, but this approach is sensitive to short‐term instrumental drift. Methods Building upon the previously reported empirical external normalization (EEN) with 92 Zr/ 90 Zr combined with the SSB method, we adopted 88 Sr/ 86 Sr for EEN + SSB MC‐ICP‐MS Rb isotope measurement, owing to the closer mass discrimination between Sr and Rb. In this study, we correted the isobaric interference of 87 Sr on 87 Rb using an exponential law, compared Sr‐EEN with Zr‐EEN using the in‐house USTC‐Rb standard, and evaluated elemental doping effects (K, Ca, Na, and Mn). Results The results show that the USTC‐Rb standard yielded δ 87/85 Rb values of −0.15‰ ± 0.04‰ (2SD, n = 33) by Sr‐EEN and −0.16‰ ± 0.04‰ (2SD, n = 33) by Zr‐EEN, indistinguishable within analytical uncertainty. Elemental doping experiments suggest that the measured Rb isotope data were not significantly affected when the K/Rb, Ca/Rb, Na/Rb, and Mn/Rb ratios were up to 100. The long‐term intermediate reproducibility for NIST SRM 984 was 0.00‰ ± 0.04‰ (2SD, n = 121). Conclusions Because Sr can be effectively separated from Rb using Sr‐spec resin, this Sr‐EEN method provides a precise and reliable alternative for Rb isotope determination by MC‐ICP‐MS and exhibits high tolerance to matrix elements.",https://doi.org/10.1002/rcm.70185,Wiley,journal,2026-09-18,Environmental & Water,Global,"State Key Laboratory of Palaeobiology and Stratigraphy, Nanjing Institute of Geology and Palaeontology Chinese Academy of Sciences Nanjing China",,,,Research activity,Torches & injectors,0.88,0.85,0.28,10.1002/rcm.70185,,,2026-09-19T21:16:22+00:00,2026-09-24T21:56:40+00:00,Crossref
